timestamp,timestamp_iso,dpid,port,role,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,byte_delta,packet_delta,drop_delta,throughput_bps,port_bw_mbps,load,loss
1780246107.0152326,2026-06-01T00:48:27,9,1,dorm_ap,476449,783503668,1417,518357,0,0,420,6,0,339.5294253697686,100,3.395294253697686e-06,0.0
1780246107.0338306,2026-06-01T00:48:27,12,1,dorm_ap,49615,6444,610,66,0,0,420,6,0,337.21337365066364,100,3.3721337365066365e-06,0.0
1780246107.041419,2026-06-01T00:48:27,16,1,data_access,51088,5018,631,47,0,0,350,5,0,278.8404826179664,1000,2.788404826179664e-07,0.0
1780246107.0515888,2026-06-01T00:48:27,11,1,dorm_ap,49887,6208,613,64,0,0,350,5,0,284.2360916062016,100,2.842360916062016e-06,0.0
1780246107.0657406,2026-06-01T00:48:27,13,1,data_access,50366,6035,621,61,0,0,350,5,0,284.25818944539714,1000,2.8425818944539716e-07,0.0
1780246107.0889902,2026-06-01T00:48:27,15,1,data_access,50775,5648,626,56,0,0,350,5,0,280.4064462257562,1000,2.8040644622575623e-07,0.0
1780246107.1029,2026-06-01T00:48:27,5,1,teaching_ap,454366,753465066,1379,498526,0,0,350,5,0,278.09292075454255,100,2.7809292075454254e-06,0.0
1780246107.1216855,2026-06-01T00:48:27,8,1,teaching_ap,49520,6304,608,64,0,0,350,5,0,280.52546222065365,100,2.8052546222065367e-06,0.0
1780246116.8839214,2026-06-01T00:48:36,6,1,teaching_ap,745883184,418793,493969,899,0,0,0,0,0,0.0,100,0.0,0.0
1780246116.9196186,2026-06-01T00:48:36,10,1,dorm_ap,775599924,438551,513620,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246116.9335616,2026-06-01T00:48:36,14,1,data_access,50845,5578,627,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246116.988095,2026-06-01T00:48:36,11,1,dorm_ap,49887,6208,613,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246117.0106409,2026-06-01T00:48:37,8,1,teaching_ap,49520,6304,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246117.0277383,2026-06-01T00:48:37,12,1,dorm_ap,49615,6444,610,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246117.0534103,2026-06-01T00:48:37,7,1,teaching_ap,49929,5743,617,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246117.0707157,2026-06-01T00:48:37,13,1,data_access,50366,6035,621,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246117.0898278,2026-06-01T00:48:37,16,1,data_access,51088,5018,631,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246117.1150138,2026-06-01T00:48:37,5,1,teaching_ap,454366,753465066,1379,498526,0,0,0,0,0,0.0,100,0.0,0.0
1780246117.1317449,2026-06-01T00:48:37,15,1,data_access,50775,5648,626,56,0,0,0,0,0,0.0,1000,0.0,0.0
1780246117.1625733,2026-06-01T00:48:37,9,1,dorm_ap,476449,783503668,1417,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246126.88977,2026-06-01T00:48:46,6,1,teaching_ap,745883184,418793,493969,899,0,0,0,0,0,0.0,100,0.0,0.0
1780246126.979515,2026-06-01T00:48:46,12,1,dorm_ap,49615,6444,610,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246127.0076437,2026-06-01T00:48:47,10,1,dorm_ap,775599924,438551,513620,902,0,0,0,0,0,0.0,100,0.0,0.0
